	submission score	comment score	submission id	comment id	title (string #1)	comment (string#2)
8194	18364	1993	boi2wy	enhgvpf	what is something unrealistic that you often see in movies that annoys the hell out of you?	"not-so-subtle exposition. ""can i come in, sweety?"" ""oh come on mom! you know father died three years ago in a car crash and nothing we do can change that!"""
8195	18364	9433	boi2wy	engptm3	what is something unrealistic that you often see in movies that annoys the hell out of you?	when someone throws a grenade into a building and manages to make a nuclear level explosion out of it
8196	18364	18634	boi2wy	engn6sn	what is something unrealistic that you often see in movies that annoys the hell out of you?	high schoolers who look like fucking supermodels
8197	18364	6534	boi2wy	enh1e4v	what is something unrealistic that you often see in movies that annoys the hell out of you?	i hate how every lock can be broken by shooting a single round at it.
8198	18364	2494	boi2wy	engs1ui	what is something unrealistic that you often see in movies that annoys the hell out of you?	finding a parking place directly in front of the business you need to visit. wtf? that's about as realistic as the bad guys firing 23 bullets at the good guy and missing him every time.
8199	18364	2478	boi2wy	enh38mk	what is something unrealistic that you often see in movies that annoys the hell out of you?	[deleted]
8200	18364	10846	boi2wy	engl3ly	what is something unrealistic that you often see in movies that annoys the hell out of you?	when they dive through glass panes and come out without a scratch on the other side.
8201	18364	7088	boi2wy	engrtxe	what is something unrealistic that you often see in movies that annoys the hell out of you?	gunfire in enclosed spaces followed by conversation. gunfire is fucking loud and after a hollywood fire-fight without ear protection, all you'd hear is mawp mawp mawp.
8202	18364	12421	boi2wy	engt6i1	what is something unrealistic that you often see in movies that annoys the hell out of you?	people turning their heads around to talk for extended periods while driving. focus on the road goddamn it!
8203	18364	7979	boi2wy	engivuk	what is something unrealistic that you often see in movies that annoys the hell out of you?	guns that click every single time they're pointed at someone. also whenever someone is threatening another person at gun point, then they chamber a round.
8204	18364	9071	boi2wy	engm2s6	what is something unrealistic that you often see in movies that annoys the hell out of you?	when government agents show up in a foreign country and have a shoot out with the bad guys out in public. the shoot out ends, the world moves on, and the government agents return back to the office to talk about what to do next. one, this never happens like it does in the movies. two, if it ever did, it would be all over the news in every country, everyone would know who the government agents are, countries would be having to resolve diplomatic nightmares, and the agents would probably not be in the field again for quite some time.
8205	18364	4835	boi2wy	engnf58	what is something unrealistic that you often see in movies that annoys the hell out of you?	anything medical related. you dont defibrillate (shock) a flat line. it wont work.
8206	18364	4339	boi2wy	engqxk0	what is something unrealistic that you often see in movies that annoys the hell out of you?	"in horror movies when someone's running from the bad guy and they fall and start crawling. get up and run, stupid. or the ""poor/unpopular"" kid in teen movies. you know the one with the two story house and garden and his own car and well off parents who's a fucking heartthrob? or any movie where they make a huge ass breakfast and the guy walks out the door eating some toast. all that perfectly good food, gone."
8207	18364	1655	boi2wy	enh5tkb	what is something unrealistic that you often see in movies that annoys the hell out of you?	female action stars performing crazy action scenes without their hair tied up out of their face.
8208	18364	3173	boi2wy	engrtc3	what is something unrealistic that you often see in movies that annoys the hell out of you?	anything to do with scheduling students in a high school. they always seem to have five minute long classes, fifteen minute long passing time between classes, and two hours for lunch.
8209	18364	872	boi2wy	engnucn	what is something unrealistic that you often see in movies that annoys the hell out of you?	using the defibrillator when the patient is flatlining. the defibrillator is used when the electrical charges in the heart is going bananas, not when there's no electrical charge at all.
8210	18364	17736	boi2wy	engo1j5	what is something unrealistic that you often see in movies that annoys the hell out of you?	[deleted]
8211	18364	462	boi2wy	enh5g2n	what is something unrealistic that you often see in movies that annoys the hell out of you?	whenever people like jack bauer just call for some 3d building plans to be sent to his cell phone. typically, architecture/engineering firms don't send out their cad files to anyone. and if they did send those files out, there's no reason for some government agency to have them unless the building was owned by that agency. and they probably wouldn't be 3d (though that is becoming more popular). in reality, jack's friends would call up the building owner, who would put them in touch with the building engineer. then the building engineer would act like he's too busy to help with anything. at some point you *may* get some drawings from him. they will be scanned pdfs. a lot of them will be illegible. they will also most likely be out of date. then when mr. bauer is crawling up around in the ductwork, he'd probably find himself face to face with security bars that are in place to keep people from crawling in the ductwork. and that's if the ductwork is even big enough to have a full grown man in them, let alone able to support the weight. &#x200b; also, government labs. they aren't high tech, black-walled, futuristic super lab. they are nondescript brick buildings with no windows and furniture from 1985.
8212	18364	4071	boi2wy	enh2oea	what is something unrealistic that you often see in movies that annoys the hell out of you?	"horses pointlessly neighing in movies. i've been around horses for 20 years. every time a horse comes onto the screen, a neigh will happen as if to signify, ""yes! this is a horse!"" the only time my horses make a sound is if i'm bringing food, or taking one away to exercise it, and the others call for it. some horses are more vocal than others, but they're aren't *that* vocal"
8213	18364	9356	boi2wy	engspt8	what is something unrealistic that you often see in movies that annoys the hell out of you?	"the incredible ability to zoom in to photographs and/or cctv footage to an almost cellular level and still have a crystal clear image. bonus points if the revealed image is of ""the perp"" on a reflected surface, such as sunglasses."
8214	18364	6885	boi2wy	engv0e6	what is something unrealistic that you often see in movies that annoys the hell out of you?	"""look, if you just let me explai."" ""no! i don't want to hear anything you have to say"" ""but."" *slam* i would say that the plot in at least 70% of movies and almost 90% of television shows would be resolved if people took 30 seconds to listen to each other. in real life i have never once experienced this. i've had people *tell* me that they didn't want to hear what i said but that sure as fuck didn't stop me form saying it. assertion is something people do in real life."
8215	18364	3866	boi2wy	engjk2k	what is something unrealistic that you often see in movies that annoys the hell out of you?	sword fights where the people spin and flip all over the place.
8216	18364	3529	boi2wy	engj45s	what is something unrealistic that you often see in movies that annoys the hell out of you?	that strangling people kills them in a few seconds. a guy can strangle someone to death in 15 seconds and move on. in reality, it can take full minutes of strangling someone to kill them. they never get tired from all that effort. when the btk killer started out, he tried to strangle a family to death one by one. but instead of killing them, he was just knocking them out so once he moved on to the 3rd person, the 1st was waking up again. movies just make those scenes last a few seconds because it would be a boring scene to watch.
8217	18364	1911	boi2wy	engmyps	what is something unrealistic that you often see in movies that annoys the hell out of you?	when there is a scene where people from another country speak their language with *an american accent*. like they don't even bother checking if the accent is authentic.
8218	18364	13980	boi2wy	engjvwi	what is something unrealistic that you often see in movies that annoys the hell out of you?	"""i'm just your average teen that plays guitar, sings, skates, paints, is loved by everyone and yet i still have no friends."" edit: wow 1300 upvotes, this is easily my most upvoted comment and i feel like this gives me some moderate ability to flex on others, thank reddit!"
8219	18364	15609	boi2wy	engo7at	what is something unrealistic that you often see in movies that annoys the hell out of you?	a young person with a shitty job and a big apartment with no roommates. edit; sorry guys, i forgot about rent control, little one horse towns where you can rent a 12 bedroom house for one strawpenny and rich parents that make you work a shitty job to build character but still pay for your rent in a big apartment in la or nyc.
8220	18364	4508	boi2wy	engpd02	what is something unrealistic that you often see in movies that annoys the hell out of you?	going from getting the wind knocked out of you to back in the action in less than 5 seconds. *edit*: maybe this wasn't entirely clear to some. i was kinda referencing like in movies where an ordinary or middle aged man falls like 2 stories and lands on his back and recovers immediately. i get when you play sports your body is more conditioned to take hits, but in many cases in movies they're given iron lungs and spines. it's not something that drives me beserk or anything when i see it. i just see it happen in a lot of movies and just chuckle.
8221	18364	9696	boi2wy	engm7vk	what is something unrealistic that you often see in movies that annoys the hell out of you?	"radio talk among military personal. anyone who has had any experience with radio language knows you never ever ever say over and out. over means you have finished talking and now the other person can speak. out means the transmission is ended. so over and out means ""i have finished talking, now you can talk. this transmission is over."""
8222	18364	2024	boi2wy	engr2ei	what is something unrealistic that you often see in movies that annoys the hell out of you?	"not something seen but heard. every computer text makes a high pitched whine when being displayed. everytime someone pulls out a gun it has a cocking sound. fuck you foley ""artists"", the wilhelm scream isn't the only sound effect we're tired of. get a new ""creaky door closing"" sound. get more than 3 different ""cat noises"". go and record a new ""thunderstorm"" sound. stop using ""mechanical grinding gears"" as the monster's roar. if movies can have 18 different cg effect studios working on a single film, they can at least hire someone who doesn't use a royalty free sound effect compilation cd they bought off of amazon 12 years ago."
8223	18364	6923	boi2wy	engvyqn	what is something unrealistic that you often see in movies that annoys the hell out of you?	programmers not making typos while they code edit: first gold, thank you stranger!
8224	18364	182	boi2wy	engt97p	what is something unrealistic that you often see in movies that annoys the hell out of you?	"thug boss: ""you've got 24 hours to sort this out!"""
8225	18364	380	boi2wy	engt3a4	what is something unrealistic that you often see in movies that annoys the hell out of you?	one guy fighting an army of 50 people and killing them all
8226	18364	1772	boi2wy	engo9ou	what is something unrealistic that you often see in movies that annoys the hell out of you?	"when they just arrive home and not a second later the doorbell rings and they act all surprised on ""who could it possibly be?"" there is no way you didn't see them right behind you walking up to your door."
8227	18364	935	boi2wy	enh64ij	what is something unrealistic that you often see in movies that annoys the hell out of you?	women in war zones. they are fully shaved, perfekt eyebrows, good hair. but they don't even got water or food like how?!
8228	18364	2162	boi2wy	engqjug	what is something unrealistic that you often see in movies that annoys the hell out of you?	"when a smart person is a ""scientist"" who ""knows science"". in reality, scientists dont really have that much in depth knowledge outside of their field of expertise. that's also why the ""mad scientist"" archetype doesn't work. you cant be an expert in chemistry, robotics, physics, biology and mathematics and fashion whatever you want. you need a team for complicated inventions."
8229	18364	3769	boi2wy	englvbc	what is something unrealistic that you often see in movies that annoys the hell out of you?	any type of 'hacking' where they are furiously typing on a keyboard, say 'i'm in' and resume their typhoon of button presses. especially against a counter-hacker who is also furiously typing somewhere else and doing. something?. to stop the hacker. also it people being assholes/lazy/generally rude. not all of us are like that!
8230	18364	444	boi2wy	enh0sh0	what is something unrealistic that you often see in movies that annoys the hell out of you?	i hate when there's a scene with someone brushing their teeth and it's clear that there isn't any toothpaste being used.
8231	18364	560	boi2wy	enh1o10	what is something unrealistic that you often see in movies that annoys the hell out of you?	no one as the same first name. women always have the perfect outfit for every occasion. everyone seems to have perfectly decorated apartment.
8232	18364	1621	boi2wy	engihsk	what is something unrealistic that you often see in movies that annoys the hell out of you?	people never have to reload. unlimited bullets.
8233	18364	985	boi2wy	engo7m3	what is something unrealistic that you often see in movies that annoys the hell out of you?	someone phones to tell someone elseto turn thr tv on - its the same exact channel the other person is watching
