	submission score	comment score	submission id	comment id	title (string #1)	comment (string#2)
1927	47328	6108	bqc3ib	eo49ikx	which propaganda effort was so successful, people still believe it today?	lie detector tests are accurate. they're junk science at best. people, when the inventor of the device and procedures used is on record saying it's crap, we should probably listen. looking at you, florida, for allowing ld test results as evidence in court.
1928	47328	1576	bqc3ib	eo3yu6e	which propaganda effort was so successful, people still believe it today?	that fat is the thing to avoid in foods taking away the spotlight from sugar
1929	47328	447	bqc3ib	eo4h6nw	which propaganda effort was so successful, people still believe it today?	a lot of ones from the rise of caesar augustus/octavian. -cleoptra was a slut who became powerful only by sex appeal. contemporary and unbiased sources actually suggest she was rather plain, but it was her intellect and charming conversation that got her power. also, as far as sexual relations go, her affairs with julius caesar and antony, as well as her traditional marriages to her brothers, arent bad compared to the well-known affairs of some other figures, especially antony. defaming cleopatra made her easier to demonize and portray as a seductress ruling over antony, making war easier for octavian. -marcus lepidus was useless. in reality, though he lacked the clout or force of personality that octavian and antony wielded, he was a competent administrator and leader who played a key role in defeating sextus pompey. he was a big enough political threat that both antony and octavian wanted him gone, but couldnt just kill him (he was forced into joining the priesthood as a solution). octavian would rather just have people forget that he wasnt the only true roman option (antony being, semi-fairly, perceived as far too decadent). -sextus pompey was a barbaric pirate king who raped and plundered the mediterranean. the youngest son of pompey magnus was likely a competent ruler, given that he held sicily and sardinia against the triumvirate with no internal attempts to unseat him. he did blockade the city of rome from its grain supply to force the triumvirs to negotiate with him, but the characterization of him as a monster is unfair. -octavian being a great military leader. all evidence points to the contrary: three great victories often are attributed to him, and we shall examine them. at mutina, where pro-senate forces fought mark antony in the chaos after caesars death, octavian was a general, but was subordinate to two other men who did much of the real leadership. these two were killed in battle, however, so octavian gets the credit. at philippi, where brutus and cassius were defeated by antony and octavian, octavians forces were overrun by brutus while, a little ways away, antony destroyed cassius army. when octavians camp was overrun, he was found to not even be present; he had claimed illness the night before and stayed away from the battle. antony had to bring his own troops around to defeat brutus. and finally, actium, where antony and cleopatra were defeated not by octavian, but his more capable subordinate, marcus agrippa. agrippa was known for his engineering and architectural skill, but was also a valuable commander (he was the man who defeated sextus pompey at sea while lepidus took his territory by land). agrippa organized the fleet at actium and was the one to lead them to victory. a lot of this was instilled by augustus rather successful record destroying once he became ruler and no one having enough power to challenge him.
1930	47328	1168	bqc3ib	eo4ioey	which propaganda effort was so successful, people still believe it today?	that you need to eat three (or more) large meals per day to be happy and healthy. and that a sugary breakfast is by far the most important part of that day
1931	47328	3108	bqc3ib	eo40n2s	which propaganda effort was so successful, people still believe it today?	the armenian genocide never happened. my turkish friends still believe this.
1932	47328	5676	bqc3ib	eo43j19	which propaganda effort was so successful, people still believe it today?	i am from germany and some of my grandparents still believe the stuff they were told about jews by the nazis. like when a jewish person dies on a christian holiday they get hung behind the door and everyone who comes in has to spit on him. it's some vile stuff. i can't believe how they were spoonfed with this in their early years. edit: another one i remember is that they were told that at a jewish funeral, the dead person gets a stone put in their pocket, so if they cross jesus in the afterlife they can throw it at him.
1933	47328	2616	bqc3ib	eo4018f	which propaganda effort was so successful, people still believe it today?	drinking fountains are unhealthy. the bottled beverage industry commissioned and publicized a series of studies in the early 1990s when they decided to get into the bottled water business. the problem was that their largest competitor was free and available in schools, parks, and public buildings everywhere. anyone who took even a semester of biology knows that if you walk around and swab and culture anything, you'll find that it's covered in bacteria. that's ecology on planet earth.
1934	47328	4106	bqc3ib	eo441vn	which propaganda effort was so successful, people still believe it today?	nestle done a smear campaign saying formula feeding is best, they mainly done it in third world countries, nestle owns majority of formula companies so they got rich and uneducated third world counties suffered as they would rather use this healthier option but made it with dirty water meaning children died, which wasnt needed as most have no issue making breast milk.
1935	47328	6798	bqc3ib	eo3lfh7	which propaganda effort was so successful, people still believe it today?	the mcdonalds hot coffee smear campaign to hide the lawsuit!
1936	47328	23575	bqc3ib	eo3dbo3	which propaganda effort was so successful, people still believe it today?	apparently in the 80s kfc ran a christmas-themed ad in japan, and to this day the japanese eat kfc on christmas.
1937	47328	5159	bqc3ib	eo3gaw0	which propaganda effort was so successful, people still believe it today?	engagement rings are required for marriage.
1938	47328	38503	bqc3ib	eo3jg3c	which propaganda effort was so successful, people still believe it today?	many korean people believe that fans can cause death. even my mother, who moved to america in her mid teens, still prohibits me from leaving a fan on overnight for fear of death. there is a conspiracy theory that the south korean government spread this myth as propaganda to prevent energy overusage, but it's origins are unkown. it's strange that many koreans believe this myth considering it is one of the most technologically advanced countries.
1939	47328	45399	bqc3ib	eo3nstq	which propaganda effort was so successful, people still believe it today?	that teeth are supposed to be perfectly white.
1940	47328	21556	bqc3ib	eo3sj5r	which propaganda effort was so successful, people still believe it today?	"when edward bernays, the father of ""public relations"", literally renamed propaganda that we want people to think is not bad to ""public relations"" and ""advertising"", and he literally admitted it in a book he made called ""propaganda"". propaganda is, quite literally, just media that is attempting to persuade you. it might be honest or dishonest, but, no matter what, it is still propaganda."
1941	47328	15965	bqc3ib	eo3mqoe	which propaganda effort was so successful, people still believe it today?	absinthe makes you haulicinate was propegabda because it was hurting the wine industry
1942	47328	31726	bqc3ib	eo33duh	which propaganda effort was so successful, people still believe it today?	carrots make your vision better
1943	47328	17375	bqc3ib	eo3asad	which propaganda effort was so successful, people still believe it today?	the myth that spartans threw unhealthy babies off mountains, this was athenian propaganda edit: holy crap i got a silver, thank you anonymous person!
1944	47328	24323	bqc3ib	eo3o1r4	which propaganda effort was so successful, people still believe it today?	sugar companies paid the media to say that fat made you fat. i mean, all food in extreme amounts will put you on the heavy side, but sugar is the true villain here.
1945	47328	24745	bqc3ib	eo3a7id	which propaganda effort was so successful, people still believe it today?	that big curvy line of toothpaste with a dairy queen curl we've seen in every toothpaste ad. you don't need more than a pea-sized smear of paste on your brush.
